company,ticker,error
worldline sa/france,,Status 429
worley ltd,,Status 429
wsp global inc,,Status 429
ww grainger inc,,Status 429
xpo inc,,Status 429
xylem inc/ny,,Status 429
yaskawa electric corp,,Status 429
yokogawa electric corp,,Status 429
yutong bus co ltd,,Status 429
zebra technologies corp,,Status 429
zhuzhou crrc times electric co ltd,,Status 429
aldar properties pjsc,,Status 429
alexandria real estate equities inc,,Status 429
american homes 4 rent,,Status 429
american tower corp,,Status 429
americold realty trust inc,,Status 429
avalonbay communities inc,,Status 429
ayala land inc,,Status 429
british land co plc/the,,Status 429
brixmor property group inc,,Status 429
bxp inc,,Status 429
c&d international investment group ltd,,Status 429
camden property trust,,Status 429
capitaland ascendas reit,,Status 429
capitaland integrated commercial trust,,Status 429
cbre group inc,,Status 429
china resources land ltd,,Status 429
ck asset holdings ltd,,Status 429
corp inmobiliaria vesta sab de cv,,Status 429
costar group inc,,Status 429
cousins properties inc,,Status 429
crown castle inc,,Status 429
cubesmart,,Status 429
daito trust construction co ltd,,Status 429
derwent london plc,,Status 429
digital realty trust inc,,Status 429
digitalbridge group inc,,Status 429
eastgroup properties inc,,Status 429
emaar development pjsc,,Status 429
emaar properties pjsc,,Status 429
equinix inc,,Status 429
equity lifestyle properties inc,,Status 429
equity residential,,Status 429
esr group ltd,,Status 429
essential properties realty trust inc,,Status 429
essex property trust inc,,Status 429
extra space storage inc,,Status 429
fastighets ab balder,,Status 429
federal realty investment trust,,Status 429
first industrial realty trust inc,,Status 429
firstservice corp,,Status 429
gaming and leisure properties inc,,Status 429
gecina sa,,Status 429
godrej properties ltd,,Status 429
goodman group,,Status 429
grainger plc,,Status 429
great portland estates plc,,Status 429
hang lung properties ltd,,Status 429
healthpeak properties inc,,Status 429
host hotels & resorts inc,,Status 429
invitation homes inc,,Status 429
iron mountain inc,,Status 429
japan metropolitan fund invest,,Status 429
jbg smith properties,,Status 429
jones lang lasalle inc,,Status 429
ke holdings inc,,Status 429
kilroy realty corp,,Status 429
kimco realty corp,,Status 429
kite realty group trust,,Status 429
klepierre sa,,Status 429
kojamo oyj,,Status 429
land securities group plc,,Status 429
leg immobilien se,,Status 429
lineage inc,,Status 429
link reit,,Status 429
londonmetric property plc,,Status 429
longfor group holdings ltd,,Status 429
